# Aspire.Dashboard.dll

Name: Aspire.Dashboard | Version: 13.4.0-dev | TFM: .NETCoreApp,Version=v8.0 | Arch: AnyCPU | Size: 3.7 MB | Source: File | Modified: 2026-06-27

## Performance Triage

| Member | Root Reach | Shape | Evidence | Fix | Confidence | Loop | IL |
| `Aspire.Dashboard.Components.Routes.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0077` |
| `Aspire.Dashboard.Components.SelectResourceOptions.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0043` |
| `Aspire.Dashboard.Components.SpanActions.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_007F` |
| `Aspire.Dashboard.Components.SpanActions.OnParametersSet()` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_002F` |
| `Aspire.Dashboard.Components.StructuredLogActions.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_007F` |
| `Aspire.Dashboard.Components.StructuredLogActions.OnParametersSet()` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_002A` |
| `Aspire.Dashboard.Components.TraceActions.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_007F` |
| `Aspire.Dashboard.Components.UnreadLogErrorsBadge.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_00D2` |
| `Aspire.Dashboard.Components.UnreadLogErrorsBadge.GetUnviewedErrorCount(Aspire.Dashboard.Model.ResourceViewModel)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0077` |
| `Aspire.Dashboard.Components.UrlsColumnDisplay.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_007B` |
| `Aspire.Dashboard.Components.UrlsColumnDisplay.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0094` |
| `Aspire.Dashboard.Components.UrlsColumnDisplay.BuildRenderTree(Microsoft.AspNetCore.Components.Rendering.RenderTreeBuilder)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_00AD` |
| `Aspire.Dashboard.Components.UrlsColumnDisplay.WriteUrl(Aspire.Dashboard.Model.DisplayedUrl)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0021` |
| `Aspire.Dashboard.Components.UrlsColumnDisplay.WriteUrl(Aspire.Dashboard.Model.DisplayedUrl)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_002E` |
| `Aspire.Dashboard.DashboardWebApplication..ctor(System.Action<Microsoft.AspNetCore.Builder.WebApplicationBuilder>, Microsoft.AspNetCore.Builder.WebApplicationOptions)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_029A` |
| `Aspire.Dashboard.DashboardWebApplication..ctor(System.Action<Microsoft.AspNetCore.Builder.WebApplicationBuilder>, Microsoft.AspNetCore.Builder.WebApplicationOptions)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0337` |
| `Aspire.Dashboard.DashboardWebApplication..ctor(System.Action<Microsoft.AspNetCore.Builder.WebApplicationBuilder>, Microsoft.AspNetCore.Builder.WebApplicationOptions)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_06BF` |
| `Aspire.Dashboard.DashboardWebApplication.ConfigureAuthentication(Microsoft.AspNetCore.Builder.WebApplicationBuilder, Aspire.Dashboard.Configuration.DashboardOptions)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0026` |
| `Aspire.Dashboard.DashboardWebApplication.ConfigureAuthentication(Microsoft.AspNetCore.Builder.WebApplicationBuilder, Aspire.Dashboard.Configuration.DashboardOptions)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_012D` |
| `Aspire.Dashboard.DashboardWebApplication.ConfigureAuthentication(Microsoft.AspNetCore.Builder.WebApplicationBuilder, Aspire.Dashboard.Configuration.DashboardOptions)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_01D2` |
| `Aspire.Dashboard.DashboardWebApplication.ConfigureAuthentication(Microsoft.AspNetCore.Builder.WebApplicationBuilder, Aspire.Dashboard.Configuration.DashboardOptions)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0277` |
| `Aspire.Dashboard.DashboardWebApplication.ConfigureKestrelEndpoints(Microsoft.AspNetCore.Builder.WebApplicationBuilder, Aspire.Dashboard.Configuration.DashboardOptions)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0247` |
| `Aspire.Dashboard.DashboardWebApplication.GetOidcClaimActionConfigure(Aspire.Dashboard.Configuration.ClaimAction)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0049` |
| `Aspire.Dashboard.DashboardWebApplication.GetOidcClaimActionConfigure(Aspire.Dashboard.Configuration.ClaimAction)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0058` |
| `Aspire.Dashboard.DashboardWebApplication.GetOidcClaimActionConfigure(Aspire.Dashboard.Configuration.ClaimAction)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0067` |
| `Aspire.Dashboard.Extensions.CollectionExtensions.Equivalent(T[], T[])` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_0024` |
| `Aspire.Dashboard.Model.Assistant.AIContextProvider.AddNew(string, System.Action<Aspire.Dashboard.Model.Assistant.AIContext>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0028` |
| `Aspire.Dashboard.Model.Assistant.AIContextProvider.OnContextChanged(System.Func<System.Threading.Tasks.Task>)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0019` |
| `Aspire.Dashboard.Model.Assistant.AIContextProvider.OnDisplayChanged(System.Func<System.Threading.Tasks.Task>)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0019` |
| `Aspire.Dashboard.Model.Assistant.AssistantChatViewModel..ctor(Aspire.Dashboard.Otlp.Storage.TelemetryRepository, Microsoft.Extensions.Configuration.IConfiguration, Aspire.Dashboard.Model.BrowserStorage.ILocalStorage, Microsoft.Extensions.Logging.ILoggerFactory, Aspire.Dashboard.Model.Assistant.IAIContextProvider, Aspire.Dashboard.Model.Assistant.ChatClientFactory, Aspire.Dashboard.Model.Assistant.AssistantChatDataContext, System.IServiceProvider, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.AIAssistant>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.ControlsStrings>, Aspire.Dashboard.Telemetry.DashboardTelemetryService, Aspire.Dashboard.Components.Pages.ComponentTelemetryContextProvider, Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder, Microsoft.Extensions.Options.IOptionsMonitor<Aspire.Dashboard.Configuration.DashboardOptions>)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_00F0` |
| `Aspire.Dashboard.Model.Assistant.AssistantChatViewModel..ctor(Aspire.Dashboard.Otlp.Storage.TelemetryRepository, Microsoft.Extensions.Configuration.IConfiguration, Aspire.Dashboard.Model.BrowserStorage.ILocalStorage, Microsoft.Extensions.Logging.ILoggerFactory, Aspire.Dashboard.Model.Assistant.IAIContextProvider, Aspire.Dashboard.Model.Assistant.ChatClientFactory, Aspire.Dashboard.Model.Assistant.AssistantChatDataContext, System.IServiceProvider, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.AIAssistant>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.ControlsStrings>, Aspire.Dashboard.Telemetry.DashboardTelemetryService, Aspire.Dashboard.Components.Pages.ComponentTelemetryContextProvider, Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder, Microsoft.Extensions.Options.IOptionsMonitor<Aspire.Dashboard.Configuration.DashboardOptions>)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0137` |
| `Aspire.Dashboard.Model.Assistant.AssistantChatViewModel..ctor(Aspire.Dashboard.Otlp.Storage.TelemetryRepository, Microsoft.Extensions.Configuration.IConfiguration, Aspire.Dashboard.Model.BrowserStorage.ILocalStorage, Microsoft.Extensions.Logging.ILoggerFactory, Aspire.Dashboard.Model.Assistant.IAIContextProvider, Aspire.Dashboard.Model.Assistant.ChatClientFactory, Aspire.Dashboard.Model.Assistant.AssistantChatDataContext, System.IServiceProvider, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.AIAssistant>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.ControlsStrings>, Aspire.Dashboard.Telemetry.DashboardTelemetryService, Aspire.Dashboard.Components.Pages.ComponentTelemetryContextProvider, Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder, Microsoft.Extensions.Options.IOptionsMonitor<Aspire.Dashboard.Configuration.DashboardOptions>)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_014F` |
| `Aspire.Dashboard.Model.Assistant.AssistantChatViewModel..ctor(Aspire.Dashboard.Otlp.Storage.TelemetryRepository, Microsoft.Extensions.Configuration.IConfiguration, Aspire.Dashboard.Model.BrowserStorage.ILocalStorage, Microsoft.Extensions.Logging.ILoggerFactory, Aspire.Dashboard.Model.Assistant.IAIContextProvider, Aspire.Dashboard.Model.Assistant.ChatClientFactory, Aspire.Dashboard.Model.Assistant.AssistantChatDataContext, System.IServiceProvider, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.AIAssistant>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.ControlsStrings>, Aspire.Dashboard.Telemetry.DashboardTelemetryService, Aspire.Dashboard.Components.Pages.ComponentTelemetryContextProvider, Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder, Microsoft.Extensions.Options.IOptionsMonitor<Aspire.Dashboard.Configuration.DashboardOptions>)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0167` |
| `Aspire.Dashboard.Model.Assistant.AssistantChatViewModel..ctor(Aspire.Dashboard.Otlp.Storage.TelemetryRepository, Microsoft.Extensions.Configuration.IConfiguration, Aspire.Dashboard.Model.BrowserStorage.ILocalStorage, Microsoft.Extensions.Logging.ILoggerFactory, Aspire.Dashboard.Model.Assistant.IAIContextProvider, Aspire.Dashboard.Model.Assistant.ChatClientFactory, Aspire.Dashboard.Model.Assistant.AssistantChatDataContext, System.IServiceProvider, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.AIAssistant>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.ControlsStrings>, Aspire.Dashboard.Telemetry.DashboardTelemetryService, Aspire.Dashboard.Components.Pages.ComponentTelemetryContextProvider, Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder, Microsoft.Extensions.Options.IOptionsMonitor<Aspire.Dashboard.Configuration.DashboardOptions>)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_017F` |
| `Aspire.Dashboard.Model.Assistant.AssistantChatViewModel..ctor(Aspire.Dashboard.Otlp.Storage.TelemetryRepository, Microsoft.Extensions.Configuration.IConfiguration, Aspire.Dashboard.Model.BrowserStorage.ILocalStorage, Microsoft.Extensions.Logging.ILoggerFactory, Aspire.Dashboard.Model.Assistant.IAIContextProvider, Aspire.Dashboard.Model.Assistant.ChatClientFactory, Aspire.Dashboard.Model.Assistant.AssistantChatDataContext, System.IServiceProvider, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.AIAssistant>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.ControlsStrings>, Aspire.Dashboard.Telemetry.DashboardTelemetryService, Aspire.Dashboard.Components.Pages.ComponentTelemetryContextProvider, Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder, Microsoft.Extensions.Options.IOptionsMonitor<Aspire.Dashboard.Configuration.DashboardOptions>)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0197` |
| `Aspire.Dashboard.Model.Assistant.AssistantChatViewModel..ctor(Aspire.Dashboard.Otlp.Storage.TelemetryRepository, Microsoft.Extensions.Configuration.IConfiguration, Aspire.Dashboard.Model.BrowserStorage.ILocalStorage, Microsoft.Extensions.Logging.ILoggerFactory, Aspire.Dashboard.Model.Assistant.IAIContextProvider, Aspire.Dashboard.Model.Assistant.ChatClientFactory, Aspire.Dashboard.Model.Assistant.AssistantChatDataContext, System.IServiceProvider, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.AIAssistant>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.ControlsStrings>, Aspire.Dashboard.Telemetry.DashboardTelemetryService, Aspire.Dashboard.Components.Pages.ComponentTelemetryContextProvider, Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder, Microsoft.Extensions.Options.IOptionsMonitor<Aspire.Dashboard.Configuration.DashboardOptions>)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_01AF` |
| `Aspire.Dashboard.Model.Assistant.InitialPrompt..ctor(Microsoft.FluentUI.AspNetCore.Components.Icon, string, string, System.Action<Aspire.Dashboard.Model.Assistant.InitializePromptContext>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0019` |
| `Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder.CreateErrorTracesPrompt(System.Func<Aspire.Dashboard.Otlp.Storage.PagedResult<Aspire.Dashboard.Otlp.Model.OtlpTrace>>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_004A` |
| `Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder.Span(Aspire.Dashboard.Model.Assistant.BuildIceBreakersContext, Aspire.Dashboard.Otlp.Model.OtlpSpan)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0069` |
| `Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder.StructuredLogs(Aspire.Dashboard.Model.Assistant.BuildIceBreakersContext, Aspire.Dashboard.Otlp.Model.OtlpLogEntry)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0069` |
| `Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder.StructuredLogs(Aspire.Dashboard.Model.Assistant.BuildIceBreakersContext, System.Func<Aspire.Dashboard.Otlp.Storage.PagedResult<Aspire.Dashboard.Otlp.Model.OtlpLogEntry>>, bool, System.Func<Aspire.Dashboard.Otlp.Storage.PagedResult<Aspire.Dashboard.Otlp.Model.OtlpLogEntry>>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_00AD` |
| `Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder.StructuredLogs(Aspire.Dashboard.Model.Assistant.BuildIceBreakersContext, Aspire.Dashboard.Otlp.Model.OtlpResource, System.Func<Aspire.Dashboard.Otlp.Storage.PagedResult<Aspire.Dashboard.Otlp.Model.OtlpLogEntry>>, bool, System.Func<Aspire.Dashboard.Otlp.Storage.PagedResult<Aspire.Dashboard.Otlp.Model.OtlpLogEntry>>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_00DD` |
| `Aspire.Dashboard.Model.Assistant.Prompts.IceBreakersBuilder.Trace(Aspire.Dashboard.Model.Assistant.BuildIceBreakersContext, Aspire.Dashboard.Otlp.Model.OtlpTrace)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0069` |
| `Aspire.Dashboard.Model.ConsoleLogsManager.OnFiltersChanged(System.Func<System.Threading.Tasks.Task>)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0019` |
| `Aspire.Dashboard.Model.DashboardCommandExecutor.CreateViewResponseNotificationAction(Aspire.Dashboard.Model.CommandViewModel, Aspire.Dashboard.Model.ResourceCommandResponseViewModel)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0043` |
| `Aspire.Dashboard.Model.DisplayedResourcePropertyViewModel..ctor(Aspire.Dashboard.Model.ResourcePropertyViewModel, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.Resources>, Aspire.Dashboard.Model.BrowserTimeProvider)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_007C` |
| `Aspire.Dashboard.Model.DisplayedResourcePropertyViewModel..ctor(Aspire.Dashboard.Model.ResourcePropertyViewModel, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.Resources>, Aspire.Dashboard.Model.BrowserTimeProvider)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0093` |
| `Aspire.Dashboard.Model.GenAI.GenAIItemPartViewModel.TryGetPropertyValue(string, ref string)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0022` |
| `Aspire.Dashboard.Model.Interaction.InputViewModel.FilteredOptions()` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_003C` |
| `Aspire.Dashboard.Model.NotificationService.RemoveNotification(string)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_002B` |
| `Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter.Apply(System.Collections.Generic.IEnumerable<Aspire.Dashboard.Otlp.Model.OtlpLogEntry>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_006B` |
| `Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter.Apply(System.Collections.Generic.IEnumerable<Aspire.Dashboard.Otlp.Model.OtlpLogEntry>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_00A9` |
| `Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter.Apply(System.Collections.Generic.IEnumerable<Aspire.Dashboard.Otlp.Model.OtlpLogEntry>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_00DC` |
| `Aspire.Dashboard.Model.Otlp.FieldTelemetryFilter.Apply(System.Collections.Generic.IEnumerable<Aspire.Dashboard.Otlp.Model.OtlpLogEntry>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_0111` |
| `Aspire.Dashboard.Model.PauseManager.SetConsoleLogsPaused(bool, System.DateTime)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_002D` |
| `Aspire.Dashboard.Model.ResourceDetailRelationshipViewModel.MatchesFilter(string)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0033` |
| `Aspire.Dashboard.Model.ResourceGraph.ResourceGraphMapper.MapResource(Aspire.Dashboard.Model.ResourceViewModel, System.Collections.Generic.IDictionary<string, Aspire.Dashboard.Model.ResourceViewModel>, Microsoft.Extensions.Localization.IStringLocalizer<Aspire.Dashboard.Resources.Columns>, bool, Aspire.Dashboard.Model.IconResolver)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_002C` |
| `Aspire.Dashboard.Model.ResourceGridViewModel.OrderNestedResources(System.Collections.Generic.List<Aspire.Dashboard.Model.ResourceGridViewModel>, System.Func<Aspire.Dashboard.Model.ResourceViewModel, bool>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0039` |
| `Aspire.Dashboard.Model.ResourceOutgoingPeerResolver..ctor(Aspire.Dashboard.ServiceClient.IDashboardClient)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0061` |
| `Aspire.Dashboard.Model.ResourceOutgoingPeerResolver.OnPeerChanges(System.Func<System.Threading.Tasks.Task>)` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0019` |
| `Aspire.Dashboard.Model.ResourceViewModel.TryGetResourceByName(string, System.Collections.Generic.IDictionary<string, Aspire.Dashboard.Model.ResourceViewModel>, ref Aspire.Dashboard.Model.ResourceViewModel)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_002B` |
| `Aspire.Dashboard.Model.ResourceViewModel.get_CachedAddresses()` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_0012` |
| `Aspire.Dashboard.Model.TelemetryExportService.ConvertTraceToJson(Aspire.Dashboard.Otlp.Model.OtlpTrace, Aspire.Dashboard.Model.IOutgoingPeerResolver[], System.Collections.Generic.List<Aspire.Dashboard.Otlp.Model.OtlpLogEntry>)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Consumed by a lazy LINQ operator (Where/Select/…): a static local function removes this closure, but the LINQ call still allocates a deferred-query iterator per call — reduced, not eliminated. Replace the query with an explicit loop (or a precomputed index when used for lookups) to remove both. | high |  | `IL_003E` |
| `Aspire.Dashboard.Model.TraceHelpers.GetOrderedResources(Aspire.Dashboard.Otlp.Model.OtlpTrace)` | 1 | capturing-delegate | delegate over a captured receiver or closure | Each call allocates a closure delegate; a static local function with explicit state parameters avoids it. | high |  | `IL_0019` |
| `Aspire.Dashboard.Otlp.Model.OtlpTrace.CalculateMaxDepth()` | 1 | instance-method-group-delegate | delegate over an instance method group (binds the receiver) | Each call allocates a delegate that binds the receiver; cache it in a field when the receiver is stable, or use a static method with explicit state. | high |  | `IL_000D` |
